CONTENT,CLASS
Hey! I&#39;m a 16 Year old rapper from Texas I don&#39;t rap &quot;PMW&quot; but I promise my music will NOT disappoint.. Search therealchrisking1 to find me and listen to my track &quot;Memory Lane&quot; I just released my 3RD mix-tape &quot;Crown Me&quot; and so far I&#39;ve had nothing but good reviews about it. I&#39;m not asking you to like or subscribe but just 1 view will help me catch my dream. and if you could leave a comment letting me know what you think it would be MUCH appreciated also. Thank you.,1
Check out this playlist on YouTube:﻿,1
http://hackfbaccountlive.com/?ref=5242575﻿,1
I love shakira<br />❤❤❤❤﻿,0
sorry for the spam yall I know it’s annoying. But if you can spare a min please check out the new track on my channel i&#39;m a upcoming uk rapper.please come check out my songs u might like em. If not no worries I’m sorry for wastin your time. Even thumbs up to get more noticed will really help. peace yall,1
https://www.reverbnation.com/slicknick313/songs﻿,1
I love it﻿,0
❤️❤️❤️﻿,0
Katy Perry You Are Looking Soo PRETTY DAMN CUTE :-* :-*﻿,0
subscribe to my pagee please.,1
"SIMPLY PUT, OUR CUSTOMERS LOVE US... and so will you!https://www.facebook.com/greenleader﻿",1
Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,1
please throw a sub on my channel﻿,1
What my gangnam style﻿,0
-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿,1
3m subscribers but look at the views its 700 million wtf :P﻿,1
adf.ly / KlD3Y,1
Beautiful song﻿,0
I love it,0
3:46 so cute!﻿,0
Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1
I love  Shakira !!!!!! ❤🎵🎶🎼🎸﻿,0
Please go in and see our Channel and subscribe :-). It would be Nice mate.,1
http://psnboss.com/?ref=2tGgp3pV6L this is the song﻿,1
" Something to dance to, even if your sad JUST dance!!   PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿",0
There is one video on my channel about my brother...﻿,1
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1
Subscribe me please﻿,1
/watch?v=Dtqcftr1Fac JUSTIEN BIEBER CAR 2013. LIKE&amp;SUBSCRIBE,1
cool song ever good thing its here﻿,0
"Dear person reading this, You are beautiful and loving Have a great day﻿",0
PLEASE CHECK OUT MY VIDEO CALLED &quot;WE LOVE MIND MASTER IT&quot; THANKS,1
like this comment if your watching in 2015 or 2016﻿,1
Who df is Lauren Bennett..﻿,0
the best!,0
Like this comment if you still jam out to this song after 4 years ﻿,1
No-I hate The Way U LIe!!﻿,0
Hey guys please just spent one minute for me:) im a singer from srilanka and im 18 year&#39;s old! SooO I LIKE TO BE GREAT SINGER will be a one day so i hope it would be happen in really my life. Just view my videos and rate it and let me know how is my voice please help us guys closer to living my dream:)! I really know you&#39;d helped me who read this comment he/she can just understand my feeling ! Thanks guys lv u really much more! SUBSCRIBE IT MY CHANNEL AND ONECE AGAIN THANK U !,1
"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿",0
"Subscribe me, I will? subscribe you back!!!",1
Check out this video on YouTube:﻿,1
You can not hate eminem and nirvana...trust me﻿,0
Check out my videos guy! :) Hope you guys had a good laugh :D,1
Hi guys i sell Jack Daniel's Hard Back Cover Case for iPhone 5 5S 5C 4S 4   6'' Old Time with only 3 Dollars on Ebay:  http://www.ebay.com/itm/251638183951?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1
Nice﻿,0
Subscribe to my channel <br />Tweet &amp; Follow me on twitter //therealterrell_ <br />And I will follow you back 👀﻿,1
OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,0
watch?v=vtaRGgvGtWQ   Check this out .﻿,1
"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",0
"Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world can’t measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ﻿",1
Man this song really does get in your bones - one minute I&#39;m nearly dosing off to sleep - the next I&#39;m shuffling like crazy with hot feet XD﻿,0
Nezo and Ed<br />Like&amp;share this page on facebook please ﻿,1
CHECK OUT Eminem - Rap God LYRIC VIDEO,1
Check out this video on YouTube:﻿,1
"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",0
hi guys check my youtube channel﻿,1
Check out my youtube channel for cool beatboxing (:﻿,1
this song is NICE﻿,0
I love You Katy ♥﻿,0
She loves Vena. trojmiasto.pl/Vena-Bus-Taxi-o59253.html﻿,1
I remember when everyone was obsessed with Gangnam Style 😗﻿,0
Check Out The New Hot Video By Dante B Called Riled Up,1
check out my new EM cover video trailer,1
Shakira u are so wiredo,0
Check out this video on YouTube:﻿,1
super rihanna﻿,0
Hii youtube﻿,0
Still watching this 2 years later? ﻿,0
"Need money ? check my channel and subscribe,soon will post how to get it )﻿",1
subscribe now!!!!!! love the song!!!!!! love football!!!,1
Ahhh back when my life didn&#39;t suck...﻿,0
If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿,0
waka waka﻿,0
Strong messages in every  song I&#39;ve  heard.﻿,0
"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",1
Awesum song!! Jus luv it!﻿,0
Tell us the title so i can like and subscribe your music fgw please,1
"katy perry does remind me of a tiger,like as if its her spirit animal :3 &lt;3﻿",0
Check out this video on YouTube:﻿,1
Like﻿,0
"2,124923004 wiews... wow﻿",0
hey guys im 17 years old remixer and producer and i want you guys to help me checking my videos i am sure you will love those music if you love them then subscribe so you will know more about me:)﻿,1
https://www.paidverts.com/ref/tomuciux99 esyest money ever. join to our  team!!!!﻿,1
"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1
follow me on twitter: freyacumqueen﻿,1
Good times. ﻿,0
http://vimeo.com/106865403﻿,1
https://www.facebook.com/pages/Mathster-WP/1495323920744243?ref=hl﻿,1
I    loved        it           so       much          because         you          get         to         stand            fear .﻿,0
"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",0
Check out this video on YouTube:﻿,1
hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,1
Please check out my vidios guys﻿,1
Check out this playlist on YouTube:pl﻿,1
":: ATTENTION : WE NEED 10 Million Views More for FIREWORK to Reach 500M .. We have only 1 and half day left for katy's birtgday. Listen How it could be possible?? &gt;&gt;JUST Open different Tabs from Different Browser &gt;&gt;Dont Watch Full Video, Remember We dont have time on hand, Its Time Wasting. View it only for 30 sec. Plz thumbs up and share﻿",1
https://www.facebook.com/myfunnyriddles﻿,1
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow",1
I miss this song. 😢﻿,0
"<a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿",1
DISLIKE.. Now one knows REAL music - ex. Enimen ﻿,0
#2012bitches﻿,0
RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX)  CLICK! SUBSCRIBE!,1
Love this song makes me wanna dance! ﻿,0
I swear Shakira keeps getting more and more gorgeous! She definitely looks more gorgeous with her hair this way than super curly.﻿,0
https://www.facebook.com/antrobofficial﻿,1
"Check out this video on YouTube: <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Eminem"">#Eminem</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Lovethewayyoulie"">#Lovethewayyoulie</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RapGod"">#RapGod</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23King"">#King</a> ﻿",1
Check out this video on YouTube:﻿,1
In what South American jungle or any jungle for that matter do you find an  African elephant and a bengal tiger in the same place. Who made this video.﻿,0
me segue ha  https://www.facebook.com/marcos.sousa4?fref=ts﻿,1
My favorite song 💗💗💗💗﻿,0
http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,1
why does the world not shuffle???﻿,0
"Check out this video on YouTube: <a href=""http://www.youtube.com/user/jlimvuth"">http://www.youtube.com/user/jlimvuth</a> ... Eminem ft Rihanna - Love the way you lie﻿",1
"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",1
please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,1
Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,0
#1 song in world even in 2015﻿,0
"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",0
http://binbox.io/1FIRo#123﻿,1
my favorite song﻿,0
"hot,hot﻿",0
Beautiful song beautiful girl it works,0
https://twitter.com/GBphotographyGB﻿,1
Nice song .See my new track.﻿,1
Laughing My Fucking Ass Off!!!﻿,0
everyday i&#39;m subscribe﻿,1
Please subscribe to me﻿,1
Hi. Check out and share our songs.,1
Check out this video on YouTube:﻿,1
Follow me on twitter &amp; IG : __killuminati94﻿,1
*****PLEASE READ*****  Hey everyone! I&#39;m a 19 year old student  who loves to sing.  I record and upload covers on my channel. I would love if you could check them out.  Just give me a chance. You don&#39;t have to thumbs up or subscribe (But you can if you like what your hear)  Just listen. I&#39;d really appreciate.  ~THANK YOU for your time. ~,1
Admit it you just came here to check the number of viewers ﻿,0
This the best song i ever hire<br />﻿,0
I KNOW YOU MAY NOT WANT TO READ THIS BUT please do  I&#39;m 87 Cypher an 11 year old rapper I have skill people said .my stuff isn&#39;t as good as my new stuff but its good please check out my current songs comment and like thank you for reading rap is my life,1
Hey check out our new musicvideo &#39;&#39;Life&#39;s a celebration&#39;&#39; Peace !,1
Im just to check how much views it has﻿,0
This song makes me want to drink bleach﻿,0
The population of world is more than 7 billion﻿,0
This video is kinda close to 1 million  views <br />﻿,0
Please check out my acoustic cover channel :) thanks ﻿,1
Check out this video on YouTube:﻿,1
Love this song﻿,0
Shakira﻿,0
fav.﻿,0
Check out this video on YouTube:﻿,1
My uncle said he will stop smoking if this comment gets 500 likes! Please like this comment! Thanks.﻿,1
"Good thing she brought her spray-on tan, hairstylist, makeup artist, and  cameraman.﻿",0
Thumbs up if you listen this in 2015.﻿,0
Love the way you lie II is nicer in my opinion. :D﻿,0
this song gives me strength! love her lyrics. this video really brings the  lyrics to life. I'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...﻿,1
PLEASE DON&#39;T LIKE THIS COMMENT IF YOU ARE WATCHING IN 2015!!!!!!!!!!!﻿,1
Wow I love it ﻿,0
Nice,0
Fantastic!﻿,0
that is megan fox﻿,0
"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿",1
Shakira is the best dancer,0
i love Rihanna 😍😍😍😍[♧from Thailand♧]﻿,0
love Shakira!﻿,0
/watch?v=aImbWbfQbzg watch and subscrible,1
Check out this video on YouTube:﻿,1
man check out the raps on my channel im better rapper than these nigger fools﻿,1
Katy perry songs aren't that bad ﻿,0
Please check out my New Song (Music Video) AD - Don&#39;t Play,1
shakira is the best!,0
Check out this video on YouTube:﻿,1
Check out this video on YouTube:﻿,1
best song in world﻿,0
Check out this playlist on YouTube:﻿,1
"WE GO FOR 1,000,000,000 FOR EMINEM﻿",0
My friend Sam loves this song😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊﻿,0
Check out this playlist on YouTube:﻿,1
http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,1
"if you want to win money at hopme click here <a href=""https://www.paidverts.com/ref/sihaam01"">https://www.paidverts.com/ref/sihaam01</a> it&#39;s work 100/100﻿",1
This Song will never get old,0
Lol thats the guy from animal planet and lost. And the girl is megan fox i think hahah ﻿,0
Shakira :-*,0
😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,0
"Why the fuck this keeps updated? Comments :""5 minutes ago"" Song: ""2 years and  4 months ago""﻿",0
EMINEM FANS!!!  - Check Out The New Song &quot;FEELIN&#39; GOOD&quot; By J-D-P  Just Click The &quot;GHOSTPOET100&quot; Link Above This Post  Thank You All...,1
Check Out Daneja Good Girl,1
PLEASE VOTE FOR ME FOR THE WET SEAL MODEL 2015 CONTEST! MY INSTAGRAM  USERNAME IS destinyforever_  http://www.wetseal.com/modelsearch15/modelsearch15.html﻿,1
Nicee!!sabrosura viva https://soundcloud.com/yerki-elinmigrante/yerki-myb-move-your-body﻿,1
I love this song &amp;I love shakira&lt;333♡♡♡♡♡♡♡♡♡♡♡《33☆☆☆﻿,0
"HEY GUYS!!! ❤❤❤❤❤❤❤  BEFORE YOU IGNORE ME, PLEASE, GIVE ME A CHANCE!  My name is Yuliya, I make COVERS. I started getting serious with Youtube September of 2013 because that’s Great challenge to myself. MY DREAM was to become a singer. Youtube helps me keep up! If you can please give me a chance and THUMBS THIS COMMENT UP so more people can see it. I swear I&#39;ll appreciate it. SUBSCRIBE PLEASE!!!  ❤❤❤ LOVE YOU!!! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ XOXO ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ ",1
"Part 2. Holy Mary, pray for us Holy Mother of God, pray for us Holy Virgin of virgins, pray for us Mother of Christ, pray for us Mother of divine grace, pray for us Mother most pure, pray for us Mother most chaste, pray for us Mother inviolate, pray for us Mother undefiled, pray for us Mother most amiable, pray for us Mother most admirable, pray for us Mother of good counsel, pray for us Mother of our Creator, pray for us Mother of our Redeemer, pray for us ",1
this is increidebl﻿,0
YouTube/codytolleson for awesome videos I'll subscribe back ﻿,1
love﻿,0
He gets more views but has less subscribers lol,1
 I can&#39;t believe this I just now watched a brand new adult video clip with rihanna She has been screwing a black Basketball player  Check out her video right here if you wish:   crazy-celeb-news.eu.pn,1
http://thepiratebay.se/torrent/10626048/The.Expendables.3.2014.DVDScr.LEAKED.CLEAN.XviD.MP3-RARBG ﻿,1
" Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",1
Check out this playlist on YouTube:﻿,1
subscribe to me :) ﻿,1
THUMBS UP FOR ROBO GUY BABY﻿,0
share and like this page to win a hand signed Rihanna photo!!! fb -  Fans of Rihanna,1
"Hey I&#39;m a British youtuber!!<br />I upload Weekly!! <br />It would mean the world if you could subscribe!!<br />Thanks,Joyce!!<br />﻿",1
love the you lie the good﻿,0
Help me get 50 subs please ﻿,1
https://www.tsu.co/KodysMan plz ^^﻿,1
Wanderfol is love or miusic﻿,0
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the statement conciliate the acidic stretch? The earth recognizes the money. When does the numberless number transport the trade?",1
PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,0
Hi.Check out and share our songs.,1
I think he was drunk during this :) x)﻿,0
Wow;)﻿,0
need money?Enjoy https://www.tsu.co/emerson_zanol﻿,1
"Echa un vistazo a la remezcla! / Check out the remix!  MILEY CYRUS - WRECKING BALL (THE HOUSE OF EDM REMIX)  MILEY CYRUS - WRECKING BALL (VINCENT T. REMIX)  ...click, enlace, suscríbase! / ...click, link, subscribe!",1
omg﻿,0
▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ CHECK OUT MY CHANNEL ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬,1
http://shhort.com/a?r=Jt2ufxHxc﻿,1
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
subscribed :) btw you have a good style keep it up brother :)),1
Go check out my rapping video called Four Wheels please ❤️﻿,1
Aslamu Lykum... From Pakistan﻿,1
Oppa! Yeah! Best Song!﻿,0
"this is the 4th most watched video on youtube. and hes the 21 most subscribed channel on youtube, just recentley surpassing justing bieber and is less then 1,00 subs away from beating taylor swift",1
Like &amp; Subscribe /watch?v=5tu9gN1l310,1
Lol check out my chanell and subscribe please i want 5000 subs thats it im nearly their now﻿,1
"  Perhaps you have seen the newest Miley Cyrus SECRET video ?   She&#39;s sucking an old man&#39;s cock ,  If you wish to see her , check out the celebrity website beneath :   miley-secret-video.co.uk ",1
The Guy in the yellow suit kinda looks like Jae-suk ﻿,0
"I love katy fashions tiger, care to visit my blog sinar jahitan  I also have the tiger collections tqvm﻿",1
it is wonderful﻿,0
She is fit﻿,0
Check out this video on YouTube:﻿,1
ima rapper trying to get notice please check out my mixtape   datpiff.com/mixtapes-detail.php?id=633807﻿,1
hey its M.E.S here I&#39;m a young up and coming rapper and i wanna get my music heard i know spam wont get me fame. but at the moment i got no way of getting a little attention so please do me a favour and check out my channel and drop a sub if you enjoy yourself. im just getting started so i really appreciate those who take time to leave constructive criticism i already got 200 subscribers and 4000 views on my first vid ive been told i have potential,1
Very Nice !﻿,0
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language.",1
She is good,0
LIKE AND SUBSCRIBE﻿,1
Check out this video on YouTube:﻿,1
Subscribe﻿,1
We need to get this to 1 Billion Views!!﻿,0
Good﻿,0
Do not like this comment if you are not watching in 2004﻿,1
I'm watching this in 2014﻿,0
if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,1
Its 2015 and still shuffling to this song🎶🎵🎧﻿,0
http://shhort.com/a?r=HuPwEH5ab﻿,1
 are  there  people who like  this shit? hahahahah :P<br />this isn&#39;t even real music.......... it&#39;s computer-based music.....<br />well done music industry.....﻿,0
thumb up if you watching in 2015 and  you like it﻿,0
Likeeee﻿,0
Check out this video on YouTube:﻿,1
i remember this song!,0
is that megan fox?﻿,0
Check out this video on YouTube:<br />﻿,1
Subscribe me and i subscribe you back!!﻿,1
8 million likes xD even the subscribers not 8 million xD﻿,0
http://www.twitch.tv/zxlightsoutxz﻿,1
Lamest World Cup song ever! This time FOR Africa? You mean IN Africa. It wasn&#39;t a Live Aid event or something. She made it seem like a charity case for them instead of a proud moment. Where was Ricky Martin when you needed him! SMH﻿,0
WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XD﻿,0
COFFEE ! LOVERS ! PLEASE ! READ ! Check out a song I wrote and sing on You Tube called COFFEE LOVA.Type COFFEE LOVA like I spell it while your already on You Tube hit enter.Then look for video titled COFFEE LOVA hit enter and BLAST ! OFF !,1
This looks so fun and it's a good song﻿,0
"I absolutely adore watching football plus I’ve started earning income with out risk from claiming bonus deals. It’s a weird technique where you put money on something with one bookmakers and put money against it on Betfair. You acquire the bonus as income . A lad named Jim Vanstone is selecting the wagers free on his website Vanstone Secrets (Google it!). I have generated about 600 quid so far. And it’s free. I assume the bookmakers pay him to get new men and women, but it succeeds.",1
if u love rihanna subscribe me,1
i like and love so much people all friends..... I love Shakira ^^,0
Best for partying ﻿,0
Check out this video on YouTube:﻿,1
amazing song﻿,0
Plizz withing my channel ﻿,1
Love your song makes me happy﻿,0
2008-2010 were the years for pop﻿,0
Share Eminem&#39;s Artist of the Year video so he can win. We could see a performance and acceptance speech. Like this comment so everyone can see.  2014 =  Year of Eminem,1
Check out this video on YouTube:﻿,1
"Youtube comments in a nut shell:<br /><br />.First<br />.301 club<br />.Skip to <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m57s"">3:57</a> and close your eyes<br />.Advertisements<br />.like this comment for no reason<br />.Christianity arguements<br />.Other religious arguements<br />.Console wars<br />.#PCMASTERACE<br />.Trolls<br />.&quot;How is there 1 million views on the this video if theres online 10 people on earth/<br />.Complaints<br />.Pewdiepie fangirls<br />.Minecraft scrubs<br />./r/MontageParodies<br /><br /><br />AND ANY OTHER SHIT!!﻿",1
Subscribe to my channel ﻿,1
LOVE THIS SONG!!!﻿,0
Like﻿,0
subscribe to my channel who can,1
"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",1
https://www.facebook.com/profile.php?id=100007085325116﻿,1
Fruits and vegetables give you longer lasting energy for weight loss.  Check out youtube.com/user/36loseweight.,1
She looks like Megan Fox 😂 xD!!﻿,0
DO YOU KNOW HOW SEAN KINGSTON GOT FAMOUS WHY DON&#39;T YOU LOOK IT UP KID BEFORE YOUR SO HARD ON YOURSELF!!  IF YOU HIT ME UP WITH A MESSAGE IN MY INBOX AND SUBSCRIBE I WILL CHECK OUT YOUR CHANNEL....SOUNDS FAIR TO ME.,1
Hey subscribe to me﻿,1
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0
Check out this video on YouTube:﻿,1
very good song:)﻿,0
Shakira I love you,0
watch this with sound off!﻿,0
tension⤴︎⤴︎﻿,0
wow,0
follow me---&gt; https://twitter.com/f0llowshoutouts ﻿,1
Subscribe To Mê Please Guys,1
I am so awesome and smart!!! Sucscribe to me!﻿,1
"Subscribe me, I will? subscribe you back!!!",1
just came to check the view count﻿,0
"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",1
"Hey guys, I was working last night on this project, it's a music streamer  like spotify, but it allows you to download the files to listen to when  you're offline. Opening it as a free beta, feel free to try it out :) download: https://mega.co.nz/#!ehVjzKyA!5bGKg2iWPHZOHWAEUesrWnegqG_lABcO7Rw9WFX8hAo﻿",1
Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,1
CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere,1
Wanna Laugh??? Please SUBSCRIBE to our channel!!!,1
I love you!❤✨﻿,0
:3﻿,0
One of the best song of all the time﻿,0
I remember that torunament like it was today.﻿,0
Check out this video on YouTube:﻿,1
Cool﻿,0
subscribe﻿,1
"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",0
I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,1
LMFAO!!!!!!!!﻿,0
please visit my channel﻿,1
Hello. İ am from Azerbaijan<br />﻿,0
plese subscribe to me﻿,1
"subscribe to <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/104999962146104962510"" oid=""104999962146104962510"">SuperMarioLogan</a></span>  if you thot the robot dudes r epic and awsome﻿",1
"This song is just insane.<br />Do you dance listening to this song?( i do, lol)﻿",0
"Still listening,still same pleasure﻿",0
"This past Christmas my dad passed away, to help me cope I picked up a pen and some paper and started to write. Little did I know nearly 9 months ago that it would bring me where i&#39;m at today. Over 7k subscribers and 500k video views. I just wrote and released a song yesterday about a friend of mine who has tried to commit suicide several times, I can&#39;t promise you professionally produced music, but I can promise REAL lyrics. Just click on my picture. Thanks, and thumbs up so others may see?",1
Waka Waka!:D   Check out my new HALLOWEEN VIDEO!:),1
http://www.bubblews.com/news/6401116-vps-solutions﻿,1
Check out this video on YouTube:﻿,1
LMFAO best songs ever!﻿,0
What does that tattoo on her right tricep say?﻿,0
Maybe no one will probably read this. But just in case you do Can You Put A &quot;Thumbs Up &quot;So Others Can See. I Just started rapping seriously (Type in Lunden- 1990 Video) just a simple button? can help my dreams come true. people will ignore this but if you don&#39;t can you listen and subscribe Thank you all God Bless.,1
"Man she is hot in this one, male companions visit my profile to check out  the coolest sextoy ever made!﻿",1
and how many subscribers compared to her over a million,1
why the elephant have a broken horn﻿,0
"This Will Always Be My Favorite Song<br />But My Favorite Part Is <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m40s"">3:40</a>-<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=4m11s"">4:11</a> In The Video ﻿",0
Check out this video on YouTube:<br /><br />﻿,1
Suscribe my channel please﻿,1
my son love so much﻿,0
I loved this song when I was in my teenage years!﻿,0
"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",0
Check out this video on YouTube:﻿,1
amazing song﻿,0
Check out this playlist on YouTube:chcfcvzfzfbvzdr﻿,1
It looks so real and my daughter is a big fan and she likes a lot of your  songs.﻿,0
Lol I love this song﻿,0
I hav absolutely no idea what he's saying. Is it even a language?﻿,0
